ID,Subject,Status,Emails Sent,Create Time
7641e1d14a,,sent,50,2011-09-05T15:43:05+00:00
7ef9ff82e0,,sent,27,2011-09-20T16:07:51+00:00
efa87b590d,,sent,9,2011-09-27T09:55:55+00:00
af81fcac01,,sent,89,2011-09-28T16:15:19+00:00
d5d1d0dbe9,,sent,2,2011-10-04T12:01:16+00:00
f0bf839fdc,,sent,169,2011-12-01T14:43:42+00:00
017790fe07,,sent,178,2012-01-17T21:23:31+00:00
f9063f81bc,,sent,252,2012-03-05T15:28:15+00:00
6074eab940,,paused,0,2012-03-22T15:02:36+00:00
16710e9614,,sent,377,2012-06-11T15:10:37+00:00
